Modelo,Acurácia,Precisão,Recall,F1-Score,ROC-AUC,CV F1-Score
2. Decision Tree,0.7532467532467533,0.6071428571428571,0.8395061728395061,0.7046632124352331,0.8113580246913581,0.6122081362304925
5. Support Vector Machine,0.7705627705627706,0.648936170212766,0.7530864197530864,0.6971428571428572,0.8336213991769548,0.651478852338969
1. Logistic Regression,0.7532467532467533,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.8345679012345679,0.651473559043366
3. Random Forest,0.7489177489177489,0.632183908045977,0.6790123456790124,0.6547619047619048,0.8393415637860082,0.6533188077577177
4. Gradient Boosting,0.7619047619047619,0.6911764705882353,0.5802469135802469,0.6308724832214765,0.8258436213991769,0.6062616305426148
8. XGBoost (Nosso),0.7489177489177489,0.6575342465753424,0.5925925925925926,0.6233766233766234,0.8126748971193415,0.5865960380744679
6. Naive Bayes,0.7359307359307359,0.631578947368421,0.5925925925925926,0.6114649681528662,0.8068724279835391,0.619694213178251
7. K-Nearest Neighbors,0.7445887445887446,0.6666666666666666,0.5432098765432098,0.5986394557823129,0.7823456790123456,0.6012914271874585
