,Diabetes,Age,BMI,HighBP,HighChol,Smoker,PhysActivity,Fruits,GenHlth
count,20008.0,20008.0,20008.0,20008.0,20008.0,20008.0,20008.0,20008.0,20008.0
mean,0.12589964014394242,49.216613354658136,27.004086499545917,0.17517992802878848,0.33296681327469013,0.08226709316273491,0.41498400639744104,0.10270891643342663,73.29328268692522
std,0.3317445120517048,17.547201867630104,5.156659866673082,0.3801304288174459,0.4712865536409094,0.274778078065631,0.49273158534721806,0.3035859043104798,15.889650169710334
min,0.0,18.0,10.503833770751953,0.0,0.0,0.0,0.0,0.0,30.0
25%,0.0,35.0,23.588329315185547,0.0,0.0,0.0,0.0,0.0,62.0
50%,0.0,48.0,26.365602493286133,0.0,0.0,0.0,0.0,0.0,71.0
75%,0.0,63.0,29.744199752807617,0.0,1.0,0.0,1.0,0.0,82.0
max,1.0,98.0,59.50413131713867,1.0,1.0,1.0,1.0,1.0,186.0
